HR,Name,DM,HD,SAO,FK5,IRflag,r_IRflag,Multiple,GLON,GLAT,SpType,RAh,RAm,RAs,DE-,DEd,DEm,DEs
5063,,CD-48 8206,116862,224151,,,,,308.92,13.07,B3IV,13,27,20.8,-,49,22,51
5064,68    Vir,BD-11 3516,116870,157938,1348,I,,,316.18,49.25,M0III,13,26,43.2,-,12,42,28
5065,,CD-39 8260,116873,204483,,,,W,310.31,22.20,G8/K0III,13,27,14.7,-,40,09,47
5066,,CP-68 1929,116890,252321,,,,,306.19,-06.99,ApSi,13,28,46.4,-,69,37,41
5067,,BD+46 1868,116957,44611,,,,,105.14,69.88,gK0,13,26,16.6,+,46,01,41
5068,69    Vir,BD-15 3668,116976,157946,,I,,,315.45,46.02,K0-III-IVCN2Fe0.5,13,27,27.2,-,15,58,25
5069,,CP-64 2418,117025,252329,,,,,306.95,-02.10,ApSrEuCr,13,29,07.6,-,64,40,33
5070,,BD+64  949,117043,16071,,,,,116.41,53.43,G6V,13,25,59.9,+,63,15,40
5071,,CD-50 7812,117150,240883,,,,,308.99,11.26,A1V,13,29,25.2,-,51,09,55
5072,70    Vir,BD+14 2621,117176,100582,1349,,,W,337.69,74.11,G4V,13,28,25.8,+,13,46,44
5073,,BD+73  592,117187,7814,499,I,,W,119.27,44.49,M1IIIab,13,26,08.1,+,72,23,29
5074,,BD+65  935,117200,16078,,,,W,116.77,51.96,F0,13,27,04.6,+,64,44,08
5075,,BD+65  936,117201,16079,,,,W,116.75,51.98,F0,13,27,10.7,+,64,43,10
5076,,BD+53 1622,117242,28763,,,,,110.49,63.49,F0,13,27,59.5,+,52,44,45
5077,,BD+41 2400,117261,44621,,,,,95.99,74.40,G8III,13,28,26.2,+,40,43,47
5078,,BD-00 2694,117267,139359,,,,,322.16,60.09,K0III,13,29,14.9,-,01,21,52
5079,,BD+51 1846,117281,28766,,,,,108.77,65.52,F1IV,13,28,11.7,+,50,35,14
5080,,BD-22 3601,117287,181695,,I,,,314.22,38.75,M7IIIe,13,29,42.8,-,23,16,53
5081,71    Vir,BD+11 2575,117304,100592,3076,,,,333.33,71.42,K0III,13,29,13.0,+,10,49,06
5082,,CP-76  767,117360,257060,,,,W,305.25,-14.88,F6V,13,33,14.8,-,77,34,06
5083,,BD+51 1847,117361,28771,,,,,108.68,65.36,F0IV,13,28,45.7,+,50,43,06
5084,Kap Oct,CP-85  384,117374,258674,1665,,,,303.91,-23.01,Am,13,40,55.5,-,85,47,10
5085,,BD+60 1461,117376,16080,500,,,W,114.52,56.57,A1Vn,13,28,27.1,+,59,56,45
5086,,BD+07 2655,117404,119962,3077,I,,,329.33,68.05,K5,13,30,00.1,+,07,10,44
5087,,BD+06 2750,117405,119961,,,,,328.11,66.98,K0,13,29,57.6,+,06,00,48
5088,72    Vir,BD-05 3706,117436,139370,,,,,320.03,55.10,F2V,13,30,25.7,-,06,28,13
5089,,CD-38 8592,117440,204545,,,,W,311.22,22.83,G9Ib*,13,31,02.7,-,39,24,27
5090,,CD-27 9278,117558,181723,,,,,313.60,33.93,A1V,13,31,33.3,-,28,06,46
5091,,BD+79  422,117566,7821,3075,,,,120.71,38.33,G2.5IIIbCH1,13,26,56.7,+,78,38,38
5092,,CD-37 8695,117597,204561,,,,,311.62,23.79,K1III,13,32,05.3,-,38,23,57
5093,,CP-64 2465,117651,252361,,,,,307.27,-03.12,A0V,13,33,35.7,-,65,37,57
5094,73    Vir,BD-17 3877,117661,157987,3078,,,W,316.15,43.10,F0IV-V,13,32,02.8,-,18,43,44
5095,74    Vir,BD-05 3714,117675,139390,3079,I,,,320.78,55.21,M2III,13,31,57.9,-,06,15,21
5096,,BD+42 2405,117710,44637,,,,,96.97,72.96,K2III,13,31,15.8,+,42,06,22
5097,,CD-2810128,117716,181737,3080,,,,313.74,33.31,A1Vn,13,32,35.9,-,28,41,34
5098,,CD-2810127,117718,181735,,,,,313.54,32.46,F3IV,13,32,34.5,-,29,33,55
5099,75    Vir,BD-14 3739,117789,157998,,I,,W,317.47,46.34,K1.5IIIb,13,32,51.7,-,15,21,47
5100,76    Vir,BD-09 3711,117818,139401,3081,I,,,319.44,51.37,K0III,13,32,58.1,-,10,09,54
5101,,BD-06 3837,117833,139403,,I,,,320.76,54.23,M7IIIe,13,33,00.7,-,07,11,42
5102,,BD+25 2643,117876,82875,,,,,18.61,80.28,G8III,13,32,48.1,+,24,20,47
5103,,CD-47 8417,117919,224254,,,,W,310.29,13.98,B8III,13,34,28.9,-,48,16,20
5104,,CD-32 9459,118010,204612,3082,,,,313.24,28.69,K2III,13,34,43.6,-,33,18,39
5105,78    Vir,BD+04 2764,118022,120004,1351,,,,328.27,64.41,A1pSrCrEu,13,34,07.9,+,03,39,32
5106,,BD-12 3843,118054,158021,,,,,318.87,48.32,A2pSrEu:Cr:,13,34,40.5,-,13,12,52
5107,79Zet Vir,BD+00 3076,118098,139420,501,,,,325.25,60.39,A3V,13,34,41.6,-,00,35,45
5108,,BD+39 2658,118156,63616,,,,,88.07,75.29,F0IV,13,34,21.8,+,38,47,21
5109,81    UMa,BD+56 1667,118214,28803,,,,,110.49,60.74,A0V,13,34,07.3,+,55,20,55
5110,,BD+37 2426,118216,63623,502,,,,83.33,76.41,F2IV,13,34,47.8,+,37,10,57
5111,80    Vir,BD-04 3515,118219,139428,1352,,,,322.71,55.77,G6III,13,35,31.3,-,05,23,46
5112,24    CVn,BD+49 2227,118232,44668,3083,,,,104.99,66.59,A5V,13,34,27.3,+,49,00,58
5113,,CP-61 3841,118261,252387,,,,W,308.33,0.70,F6V,13,37,12.2,-,61,41,31
5114,,BD+10 2565,118266,100630,,,,W,336.59,70.14,K1III+F6V,13,35,33.3,+,10,12,17
5115,,CP-75  882,118285,257069,503,,,,305.94,-13.09,B8IV,13,39,11.9,-,75,41,02
5116,,BD+44 2285,118295,44675,1353,,,,98.48,70.79,A7-F0III,13,35,14.1,+,44,11,49
5117,,CD-33 9189,118319,204653,,,,,313.47,27.47,K0III,13,36,50.5,-,34,28,04
5118,,CD-43 8418,118338,224275,3084,,,,311.52,17.97,G8-K0III,13,37,06.0,-,44,08,36
5119,,CP-69 1898,118344,257070,3086,,,,306.91,-07.94,K3III,13,38,45.7,-,70,26,42
5120,,CD-25 9900,118349,181790,,,,,315.38,35.28,A7III,13,36,48.4,-,26,29,42
5121,,CD-45 8578,118354,224283,,,,,311.13,15.71,B8V,13,37,23.7,-,46,25,42
5122,,CP-57 6169,118384,241013,,,,W,309.03,3.90,K1III,13,38,07.6,-,58,24,54
5123,,BD+25 2652,118508,82905,3085,I,,,21.68,79.45,M2III,13,36,59.1,+,24,36,48
5124,,CP-56 5856,118520,241026,,,,W,309.26,4.67,G5Ib,13,38,49.1,-,57,37,23
5125,,CP-70 1653,118522,257074,,,,,306.94,-08.30,K0III,13,40,00.6,-,70,47,18
5126,,BD+50 2014,118536,44682,,,,,104.68,66.01,K1III,13,36,39.8,+,49,29,12
5127,25    CVn,BD+37 2433,118623,63648,,,,,78.96,76.61,A7III,13,37,27.6,+,36,17,42
5128,,CD-2810181,118646,181825,,,,,315.08,32.19,F5V,13,38,42.0,-,29,33,39
5129,,BD+15 2602,118660,100644,,,,,345.58,73.18,A9V s,13,38,07.9,+,14,18,06
5130,,CP-63 2896,118666,252400,,,,,308.14,-02.20,F3III-IV,13,40,10.9,-,64,34,37
5131,,BD+77  516,118686,7848,,I,,,119.65,40.30,K5III:,13,34,42.8,+,76,32,48
5132,Eps Cen,CP-52 6655,118716,241047,504,,,W,310.19,8.72,B1III,13,39,53.2,-,53,27,59
5133,,BD+51 1856,118741,28819,,I,,,105.56,64.82,M2II-III+K3III:,13,37,43.0,+,50,42,53
5134,,CD-49 8095,118767,224317,,I,,,310.89,12.17,M5III,13,39,59.7,-,49,57,01
5135,,CD-39 8390,118781,204708,,,,,312.92,22.19,M4III,13,39,40.8,-,39,44,53
5136,,CD-39 8392,118799,204712,,,,,312.88,21.88,K2/3III,13,39,48.6,-,40,03,07
5137,,BD+19 2697,118839,100650,,,,,356.46,75.91,K3III,13,39,02.3,+,18,15,55
5138,,BD+11 2589,118889,100654,,,,,339.90,70.08,F0V,13,39,34.6,+,10,44,46
5139,,BD+71  659,118904,7854,505,I,,,117.72,45.42,gK2,13,37,11.0,+,71,14,32
5140,,CP-58 5059,118978,241080,,,,,309.46,3.44,B9III,13,42,01.1,-,58,47,14
5141,,CP-53 5725,118991,241076,,,,W,310.25,7.60,B8Vn,13,41,44.7,-,54,33,36
5142,82    UMa,BD+53 1640,119024,28832,,,,,107.04,62.70,A3Vn,13,39,30.4,+,52,55,17
5143,,BD+31 2526,119035,63676,,,,,55.83,78.65,G5II:,13,40,15.6,+,31,00,43
5144,1    Boo,BD+20 2858,119055,82942,,,,,3.08,76.64,A1V,13,40,40.5,+,19,57,20
5145,,BD+28 2248,119081,82944,,,,W,40.68,79.06,K3III,13,40,39.1,+,28,03,55
5146,,BD-22 3645,119086,181863,1354,,,,317.55,38.00,A0,13,41,30.9,-,23,26,59
5147,,CD-32 9549,119090,204739,,I,:,,314.80,28.11,K0e-M4IIe,13,41,45.7,-,33,35,49
5148,,BD+51 1859,119124,28836,,,,,104.46,64.82,F7-9V,13,40,23.2,+,50,31,10
5149,2    Boo,BD+23 2600,119126,82946,,,,,13.26,77.84,G9III,13,41,02.3,+,22,29,45
5150,82    Vir,BD-07 3674,119149,139490,1355,I,,,323.42,52.16,M1.5III,13,41,36.8,-,08,42,11
5151,,CP-56 5891,119159,241096,1356,,,,309.98,5.40,B0.5III,13,42,56.1,-,56,46,05
5152,,CD-50 7983,119193,241098,,,,,311.19,11.25,M0III,13,42,54.6,-,50,47,26
5153,,BD+57 1456,119213,28838,,,,,110.18,58.69,A2VpSrCrEu,13,40,21.3,+,57,12,27
5154,83    UMa,BD+55 1625,119228,28843,3087,I,,,108.18,61.01,M2IIIabBa0.5,13,40,44.3,+,54,40,54
5155,,CD-40 8096,119250,224359,,,,,313.20,20.44,K0III,13,42,55.0,-,41,24,04
5156,,BD+09 2798,119288,120075,,,,,337.96,67.74,F3Vp,13,42,12.7,+,08,23,18
5157,,CD-41 8089,119361,224365,,,,W,313.20,19.76,B8III,13,43,40.0,-,42,04,03
5158,,CD-50 7998,119419,241120,,,,,311.35,10.99,A0pSiCr,13,44,15.9,-,51,00,47
5159,84    Vir,BD+04 2775,119425,120082,,I,,,332.78,63.38,K2III,13,43,03.7,+,03,32,17
5160,,BD+42 2431,119445,44720,,,,,90.49,72.09,G6III,13,42,28.8,+,41,40,27
5161,,BD+35 2474,119458,63701,3089,,,,71.71,76.51,G5III,13,42,43.4,+,34,59,20
5162,,BD+65  953,119476,16142,3088,,,,114.42,51.47,A2V,13,41,29.9,+,64,49,21
5163,,BD-04 3540,119537,139516,,,,,326.12,54.99,A1V,13,43,54.3,-,05,29,56
5164,,BD+23 2606,119584,82969,,I,,,15.32,77.35,K4III,13,43,45.2,+,22,42,01
5165,83    Vir,BD-15 3731,119605,158131,1357,,,,321.03,44.82,G0Ib-IIa,13,44,29.8,-,16,10,45
5166,,CD-2411057,119623,181921,,,,,317.81,35.83,K0,13,44,45.7,-,25,30,03
5167,,CD-25 9972,119752,181931,,,,,317.84,35.18,A1Vn,13,45,36.9,-,26,06,58
5168,1    Cen,CD-32 9603,119756,204812,506,,,,315.86,28.46,F3IV,13,45,41.2,-,33,02,38
5169,,BD+52 1733,119765,28866,,,,,104.91,63.19,A1V,13,43,54.7,+,52,03,52
5170,85    Vir,BD-15 3735,119786,158147,,,,W,321.56,45.14,A2Vn,13,45,35.1,-,15,46,03
5171,,CP-61 4003,119796,252448,,I,,W,309.30,-00.41,K00-Iae,13,47,10.7,-,62,35,24
5172,,CD-50 8017,119834,241157,,,,W,311.63,10.50,G8-K0III,13,46,39.3,-,51,25,58
5173,86    Vir,BD-11 3591,119853,158152,,,,,323.16,48.29,G8III,13,45,56.3,-,12,25,36
5174,,CD-35 8995,119921,204835,3091,,,W,315.28,25.29,A0V,13,46,56.4,-,36,15,07
5175,,CD-49 8194,119938,241173,3092,,,,312.02,11.63,A3mA5F0,13,47,27.6,-,50,14,58
5176,,CD-49 8198,119971,241177,,,,,312.04,11.55,K2III,13,47,38.4,-,50,19,16
5177,,BD+56 1683,119992,28878,,,,,107.97,59.66,F7IV-V,13,45,13.2,+,55,52,46
5178,,BD-08 3639,120033,139544,,I,,W,324.99,50.76,K5III,13,47,13.5,-,09,42,33
5179,,BD+41 2424,120047,44742,,,,,87.52,72.06,A5V,13,46,13.5,+,41,05,19
5180,,BD+39 2678,120048,63735,,,,,81.11,73.84,G9III,13,46,19.0,+,38,30,14
5181,87    Vir,BD-17 3932,120052,158165,,I,,,321.28,43.01,M2IIIab,13,47,25.4,-,17,51,36
5182,3    Boo,BD+26 2494,120064,82993,1358,,,,29.48,77.55,G5III+A7V:,13,46,43.3,+,25,42,08
5183,,BD+07 2690,120066,120108,,,,,337.86,65.38,G0-1IV-V,13,46,57.1,+,06,21,02
5184,,BD+78  466,120084,7876,3090,,,,119.56,38.73,gG7,13,42,39.3,+,78,03,52
5185,4Tau Boo,BD+18 2782,120136,100706,507,,,,358.95,73.88,F6IV,13,47,15.7,+,17,27,24
5186,,BD+39 2680,120164,63739,3094,,,W,80.90,73.71,K0III+F8V,13,46,59.8,+,38,32,34
5187,84    UMa,BD+55 1634,120198,28885,,,,,106.38,60.89,B9pEuCr,13,46,35.7,+,54,25,58
5188,,CP-82  585,120213,258683,3986,,,,305.09,-20.06,K2.5IIIaCH-3Ba0.5,13,55,38.7,-,82,39,58
5189,,CD-35 9019,120237,204867,,,,W,315.87,25.72,G3IV-V,13,48,55.1,-,35,42,14
5190,Nu  Cen,CD-41 8171,120307,224469,,,,,314.41,19.89,B2IV,13,49,30.3,-,41,41,16
5191,85Eta UMa,BD+50 2027,120315,44752,509,I,,,100.69,65.32,B3V,13,47,32.4,+,49,18,48
5192,2    Cen,CD-33 9358,120323,204875,,I,,,316.32,26.91,M4.5III,13,49,26.7,-,34,27,03
5193,Mu  Cen,CD-41 8172,120324,224471,508,,,W,314.24,19.12,B2IV-Ve,13,49,37.0,-,42,28,26
5194,,CP-68 2014,120404,252481,3099,,,,308.23,-07.15,K5-M0III,13,51,47.4,-,69,24,05
5195,,BD+31 2547,120420,63760,3096,,,,54.35,76.88,K0III,13,48,38.7,+,31,11,25
5196,89    Vir,BD-17 3937,120452,158186,510,I,,,321.93,42.57,K0.5III-IIIb,13,49,52.3,-,18,08,03
5197,,CD-2810277,120455,181999,3097,,,,318.07,32.06,A0V,13,50,06.5,-,29,04,53
5198,,CD-39 8501,120457,204888,,,,,315.03,21.58,K1III,13,50,19.4,-,39,54,04
5199,,BD+40 2694,120499,63763,,I,,,82.66,72.77,M6IIIe,13,48,57.2,+,39,32,34
5200,5Ups Boo,BD+16 2564,120477,100725,,I,,,355.81,72.40,K5.5III,13,49,28.6,+,15,47,52
5201,6    Boo,BD+21 2578,120539,83015,3098,I,,,12.25,75.49,K4III,13,49,42.8,+,21,15,51
5202,,BD-19 3754,120544,158192,,,,,321.42,40.84,G5III-IV:+A5:,13,50,34.5,-,19,53,50
5203,,BD+83  397,120565,2266,1643,,,,121.01,34.18,G9III,13,42,23.1,+,82,45,09
5204,,BD+37 2457,120600,63772,,,,,74.14,74.42,A7IV-V,13,49,45.0,+,36,37,58
5205,,BD+06 2800,120602,120132,3100,,,,338.54,64.21,K0,13,50,24.7,+,05,29,50
5206,,CD-46 8909,120640,224489,,,,,313.53,14.73,B2Vp,13,51,47.2,-,46,53,57
5207,,CP-52 6787,120642,241239,,,,W,312.14,8.97,B9V,13,52,04.8,-,52,48,42
5208,,CD-35 9054,120672,204911,,,,,316.24,24.88,F6IV-V,13,51,36.6,-,36,26,00
5209,,CD-2311329,120690,182026,,,,,319.96,36.49,G5V,13,51,20.4,-,24,23,27
5210,3    Cen,CD-32 9676,120709,204916,,,,W,317.28,28.19,B5IIIp,13,51,49.6,-,32,59,40
5211,3    Cen,CD-32 9676,120710,204917,,,,W,317.28,28.19,B8V,13,51,50.1,-,32,59,41
5212,,CD-3110706,120759,204922,,,,W,317.74,29.50,F7V,13,52,00.9,-,31,37,10
5213,,BD+62 1318,120787,16186,3101,,,,111.06,54.27,G3V,13,49,45.5,+,61,29,21
5214,,BD+35 2492,120818,63779,,,,,67.50,75.13,A5IV,13,51,04.5,+,34,46,21
5215,,BD+35 2493,120819,63781,,I,,,67.10,75.16,M2III,13,51,09.2,+,34,39,52
5216,,BD+59 1533,120874,28901,,,,,108.83,56.94,A3V,13,50,27.7,+,58,32,22
5217,,CP-52 6805,120908,241262,,,,,312.25,8.37,B5III,13,53,43.1,-,53,22,25
5218,,CP-67 2426,120913,252511,,,,,308.92,-05.52,K2III,13,54,48.9,-,67,39,09
5219,,BD+35 2496,120933,63793,3102,I,,,66.10,75.14,K5III,13,51,47.5,+,34,26,39
5220,,BD+12 2635,120934,100745,3104,,,,349.54,69.32,A1V,13,52,18.4,+,12,09,55
5221,4    Cen,CD-3110729,120955,204944,,,,W,317.93,29.14,B4IV,13,53,12.5,-,31,55,40
5222,,CD-35 9090,120987,204955,,,,W,316.88,25.52,F4V,13,53,32.8,-,35,39,51
5223,,CD-46 8931,120991,224514,,,,W,313.84,14.42,B2IIIe,13,53,56.9,-,47,07,41
5224,,CD-34 9223,121056,204963,,,,,317.06,25.84,K1IV-V,13,53,52.2,-,35,18,52
5225,7    Boo,BD+18 2795,121107,100751,,,,,3.30,73.05,G5III,13,53,12.9,+,17,55,58
5226,10    Dra,BD+65  963,121130,16199,511,I,,,112.77,51.21,M3.5III,13,51,25.9,+,64,43,24
5227,,BD+69  724,121146,16197,3103,,,W,114.79,47.86,K2IV,13,50,59.2,+,68,18,55
5228,,CD-27 9478,121156,182065,,,,,319.27,32.30,K2III,13,54,16.6,-,28,34,11
5229,,BD+29 2464,121164,83055,3106,,,,42.88,76.28,A7V,13,53,10.3,+,28,38,53
5230,,CD-51 7832,121190,241294,,,,,312.77,9.49,B9V,13,55,12.2,-,52,09,40
5231,Zet Cen,CD-46 8949,121263,224538,512,,,,314.07,14.19,B2.5IV,13,55,32.4,-,47,17,18
5232,90    Vir,BD-00 2758,121299,139613,3107,I,,,333.47,57.57,K2III,13,54,42.1,-,01,30,11
5233,,BD-07 3728,121325,139618,,,,,328.80,51.59,F8V+G0,13,54,58.2,-,08,03,32
5234,,CP-53 5805,121336,241309,,,,W,312.44,7.54,A1V,13,56,19.8,-,54,07,55
5235,8Eta Boo,BD+19 2725,121370,100766,513,I,,W,5.30,73.03,G0IV,13,54,41.1,+,18,23,52
5236,,CP-54 5806,121384,241315,,,,W,312.32,6.98,G6IV-V,13,56,33.0,-,54,42,16
5237,,CD-3011015,121397,204994,,,,,318.73,29.61,G8III,13,55,44.5,-,31,17,06
5238,86    UMa,BD+54 1630,121409,28928,,,,,103.76,61.01,A0V,13,53,51.0,+,53,43,43
5239,,CD-45 8815,121416,224555,,,,,314.39,14.83,K1III,13,56,19.5,-,46,35,33
5240,,CP-77  922,121439,257107,3111,,,,306.44,-16.19,B9III,14,00,32.8,-,78,35,24
5241,,CP-63 3070,121474,252531,514,,,,310.19,-01.75,K1.5III,13,57,38.9,-,63,41,12
5242,,CP-65 2553,121557,252534,3110,,,W,309.74,-03.82,K0III,13,58,31.2,-,65,48,02
5243,,BD+14 2680,121560,100776,3109,,,,355.12,70.09,F6V,13,55,50.0,+,14,03,23
5244,92    Vir,BD+01 2865,121607,120185,,,,,336.53,59.61,A8V,13,56,27.9,+,01,03,02
5245,,BD+32 2411,121682,63837,1360,,,,56.03,75.11,F4IV-V,13,56,10.5,+,32,01,57
5246,,BD-22 3687,121699,182123,,I,,,322.14,37.37,K0,13,57,27.7,-,23,01,22
5247,9    Boo,BD+28 2278,121710,83084,,I,,,38.12,75.54,K3III,13,56,34.2,+,27,29,31
5248,Phi Cen,CD-41 8329,121743,224577,,,,,315.98,19.07,B2IV,13,58,16.3,-,42,06,03
5249,Ups1Cen,CD-44 9010,121790,224585,3112,,,,315.29,16.45,B2IV-V,13,58,40.8,-,44,48,13
5250,47    Hya,CD-2411202,121847,182134,515,,,,321.66,35.45,B8VpShell,13,58,31.1,-,24,58,20
5251,,CD-49 8356,121853,241352,,,,,313.86,11.06,G8-K0III,13,59,17.3,-,50,22,12
5252,,CP-60 5135,121901,252552,,,,,311.06,0.30,F1III-IV,14,00,17.3,-,61,28,53
5253,,CP-65 2573,121932,252554,,,,W,309.85,-04.33,F2III,14,00,52.2,-,66,16,07
5254,,BD+15 2651,121980,100801,,I,,,357.75,69.98,K5III,13,58,39.9,+,14,38,58
5255,10    Boo,BD+22 2650,121996,83103,3113,,,,17.02,73.78,A0V s,13,58,38.9,+,21,41,46
5256,,BD+62 1325,122064,16230,,,,,109.61,53.90,K3V,13,57,32.1,+,61,29,34
5257,48    Hya,CD-2411215,122066,182152,1361,,,,322.04,35.31,F7V,14,00,00.1,-,25,00,37
5258,,BD-02 3768,122106,139666,1362,,,,333.84,55.17,F8V,13,59,49.3,-,03,32,59
5259,,CD-39 8628,122210,205096,,,,W,317.12,20.72,K1III,14,01,19.0,-,40,13,20
5260,Ups2Cen,CD-44 9040,122223,224621,,,,,315.60,15.53,F6II,14,01,43.4,-,45,36,13
5261,The Aps,CP-76  799,122250,257112,1363,I,:,,307.22,-14.54,M6.5III:,14,05,19.8,-,76,47,48
5262,,BD+09 2835,122365,120228,3114,,,,348.38,65.40,A2V,14,01,20.4,+,08,53,41
5263,11    Boo,BD+28 2287,122405,83130,517,,,,37.90,74.51,A7III,14,01,10.5,+,27,23,12
5264,93Tau Vir,BD+02 2761,122408,120238,516,,,,339.22,59.38,A3V,14,01,38.8,+,01,32,40
5265,,CD-2610060,122430,182182,,I,,,321.70,32.84,K3III,14,02,22.8,-,27,25,48
5266,,CP-55 5846,122438,241403,,,,,312.87,5.26,K2III,14,03,26.2,-,56,12,49
5267,Bet Cen,CP-59 5365,122451,252582,518,,,W,311.77,1.25,B1III,14,03,49.4,-,60,22,23
5268,,CD-3110859,122510,205123,,,,W,320.29,28.76,F8V,14,03,01.7,-,31,41,02
5269,,CD-40 8373,122532,224641,1364,,,,317.16,19.45,ApSi,14,03,27.5,-,41,25,24
5270,,BD+10 2617,122563,120251,,,,,350.17,65.80,F8IV,14,02,31.8,+,09,41,11
5271,,BD+46 1922,122675,44858,3115,,,,90.56,66.67,K2III,14,02,12.2,+,45,45,13
5272,,BD-21 3824,122703,182204,3117,,,,324.15,37.45,F5III,14,03,53.1,-,22,25,18
5273,,BD+11 2625,122742,100832,,,,,352.46,66.45,G8V,14,03,32.3,+,10,47,12
5274,,BD+08 2810,122744,120261,,,,,347.39,64.00,G9III,14,03,36.8,+,07,32,47
5275,,BD+05 2836,122797,120265,3118,,,,343.99,61.85,F4V,14,03,55.8,+,04,54,03
5276,,BD-04 3614,122815,139711,,,,,334.07,53.03,K0,14,04,14.6,-,05,22,53
5277,,BD-14 3863,122837,158325,1365,,,,327.95,44.32,G6III,14,04,27.0,-,14,58,18
5278,,CP-54 5887,122844,241430,3119,,,,313.63,6.65,A5III-IV,14,05,46.5,-,54,40,10
5279,,CP-74 1142,122862,257116,3120,,,,308.00,-12.75,G2-3IV,14,08,27.1,-,74,51,01
5280,,BD+51 1889,122866,28989,,,,,98.11,62.57,A2V,14,02,59.7,+,50,58,19
5281,,CP-59 5395,122879,241439,,,,,312.26,1.79,B0Ia,14,06,25.1,-,59,42,56
5282,,BD+69  733,122909,16254,,I,,,113.63,47.16,K5,14,01,50.6,+,68,40,43
5283,,BD+02 2768,122910,120269,,,,,341.25,59.61,K0,14,04,37.5,+,02,17,51
5284,,BD-15 3805,122958,158331,,,,,327.46,42.99,A4V,14,05,14.0,-,16,20,09
5285,Chi Cen,CD-40 8405,122980,224673,,,,,317.73,19.54,B2V,14,06,02.8,-,41,10,47
5286,,CD-42 9027,123004,224676,,,,,317.15,17.71,G8III,14,06,10.9,-,43,05,31
5287,49Pi  Hya,CD-2610095,123123,182244,519,I,,,323.00,33.25,K2-III-IIIbFe-0.5,14,06,22.3,-,26,40,57
5288,5The Cen,CD-35 9260,123139,205188,520,I,',W,319.46,24.08,K0-IIIb,14,06,41.0,-,36,22,12
5289,,CP-62 3941,123151,252616,3121,,,,311.46,-01.62,G8-K0III,14,08,14.3,-,63,12,29
5290,95    Vir,BD-08 3697,123255,139736,,,,,332.12,49.24,F2IV,14,06,42.8,-,09,18,48
5291,11Alp Dra,BD+65  978,123299,16273,521,,,,110.52,50.96,A0III,14,04,23.3,+,64,22,33
5292,,CP-58 5383,123335,241478,,,,,312.70,2.12,B5IV,14,08,56.3,-,59,16,36
5293,,CP-69 2012,123377,257119,3123,,,W,309.55,-08.46,K4II,14,10,30.9,-,70,18,20
5294,,CD-42 9065,123445,224721,,,,W,317.52,17.20,B9V,14,08,51.9,-,43,28,16
5295,,CP-69 2014,123492,252636,,,,,309.77,-07.91,A6IV,14,11,01.9,-,69,43,11
5296,,CD-50 8294,123515,241491,3122,,,W,315.12,9.51,B9IV,14,09,35.0,-,51,30,17
5297,,CP-52 7028,123569,241496,,,,W,314.58,7.65,G9-III,14,09,54.8,-,53,26,21
5298,96    Vir,BD-09 3865,123630,158385,,,,D,332.20,48.08,G8III,14,09,00.6,-,10,20,04
5299,,BD+44 2325,123657,44901,1368,I,,,85.26,67.26,M4.5:III,14,07,55.8,+,43,51,16
5300,13    Boo,BD+50 2047,123782,44905,3124,I,,W,94.58,63.23,M1.5III,14,08,17.3,+,49,27,29
5301,,BD-15 3817,123934,158401,,I,,,329.16,42.49,M2IIIa,14,10,50.5,-,16,18,07
5302,,BD+60 1516,123977,29019,3126,,,,105.75,55.14,K0III,14,08,46.0,+,59,20,16
5303,Eta Aps,CP-80  706,123998,258693,3129,,,,306.43,-18.73,A2m,14,18,13.8,-,81,00,28
5304,12    Boo,BD+25 2737,123999,83203,522,,,,30.82,72.18,F9IV w,14,10,23.9,+,25,05,30
5305,3    UMi,BD+75  529,124063,7953,3125,,,,116.34,41.55,A7V,14,06,56.4,+,74,35,37
5306,,CP-77  940,124099,257131,,,,,307.57,-15.57,K2IIp,14,16,54.9,-,77,39,50
5307,,BD+02 2783,124115,120334,,,,,342.99,57.87,F7V,14,11,31.2,+,01,21,44
5308,,CP-53 5912,124147,241543,,,,,314.98,7.28,K5III+B-A,14,13,16.4,-,53,39,57
5309,,CD-2311551,124162,182343,,,,,325.54,34.93,K0,14,12,24.5,-,24,21,51
5310,,BD+32 2443,124186,63979,,,,,54.36,71.95,K4III,14,11,15.1,+,32,17,44
5311,,CP-54 5933,124195,241552,,,,,314.73,6.35,B5Ve,14,13,39.9,-,54,37,33
5312,50    Hya,CD-2610158,124206,182349,,I,,,324.34,32.21,K3III,14,12,46.0,-,27,15,40
5313,,BD+03 2867,124224,120339,3127,,,,344.43,58.61,A0VpSi,14,12,15.8,+,02,24,34
5314,,CD-2610163,124281,182354,,,,,324.74,32.77,K0III,14,13,13.2,-,26,36,44
5315,98Kap Vir,BD-09 3878,124294,158427,523,I,,,333.51,47.70,K2.5IIIFe-0.5,14,12,53.8,-,10,16,25
5316,,CP-56 6206,124367,241563,,,,W,314.13,3.96,B4Vne,14,14,57.0,-,57,05,09
5317,,BD-00 2796,124425,139798,,,,,341.52,55.74,F7V w,14,13,40.8,-,00,50,44
5318,,CD-41 8589,124433,224791,,,,,319.14,18.40,G8III,14,14,42.6,-,41,50,15
5319,,CP-52 7087,124454,241569,,,,,315.33,7.33,K3III,14,15,21.2,-,53,30,35
5320,,CP-66 2490,124471,252678,,,,W,311.26,-05.10,B1.5III,14,16,38.6,-,66,35,16
