HR,Name,DM,HD,SAO,FK5,IRflag,r_IRflag,Multiple,GLON,GLAT,SpType,RAh,RAm,RAs,DE-,DEd,DEm,DEs
1065,,BD+27  515,21743,75970,,,,,161.21,-23.17,A2V,03,31,20.8,+,27,34,19
1066,5    Tau,BD+12  486,21754,93469,125,I,,,172.07,-34.32,K0II-IIIFe-0.5,03,30,52.4,+,12,56,12
1067,,BD+05  502,21755,111230,2247,,,,178.04,-39.07,G8III,03,30,45.4,+,06,11,19
1068,,BD+58  619,21769,24093,,,,,142.64,2.24,A4III,03,33,32.1,+,58,45,54
1069,36    Per,BD+45  778,21770,38924,2249,,,,149.87,-08.22,F4III,03,32,26.3,+,46,03,25
1070,17    Eri,BD-05  674,21790,130528,1097,,,,189.96,-46.18,B9V s,03,30,37.1,-,05,04,31
1071,,BD+57  730,21794,24098,2252,,,,143.17,1.52,F7V,03,33,41.2,+,57,52,08
1072,,BD+44  734,21803,38927,,,,,150.61,-09.18,B2IV,03,32,39.1,+,44,51,20
1073,,BD+54  693,21819,24099,,,,,144.84,-00.84,A3V,03,33,39.0,+,54,58,29
1074,,BD+34  674,21856,56531,1098,,,,156.32,-16.75,B1V,03,32,40.0,+,35,27,42
1075,,CD-43 1085,21882,216347,,,,,249.21,-54.41,A5V,03,29,55.0,-,42,38,03
1076,,CD-41 1029,21899,216350,2248,,,,247.06,-54.61,F7V,03,30,13.6,-,41,22,12
1077,,BD+59  675,21903,24111,,,,,142.05,3.39,F3V,03,35,00.8,+,60,02,28
1078,,BD+39  811,21912,56538,2254,,,,153.72,-13.09,A5m,03,33,35.1,+,39,53,58
1079,6    Tau,BD+08  528,21933,111246,,,,,175.51,-36.55,B9IV,03,32,36.0,+,09,22,25
1080,,BD+75  143,21970,4953,,,,,132.81,16.20,G9III-IV,03,39,24.8,+,75,44,23
1081,,CD-47 1071,21981,216357,2250,,,,256.87,-53.00,A1V,03,30,37.0,-,47,22,31
1082,,CD-26 1333,21997,168612,,,,,219.83,-54.18,A3V,03,31,53.9,-,25,36,51
1083,Kap Ret,CP-63  234,22001,248819,126,,,W,278.36,-45.94,F5IV-V,03,29,22.7,-,62,56,15
1084,18Eps Eri,BD-09  697,22049,130564,127,I,,A,195.86,-48.04,K2V,03,32,55.8,-,09,27,30
1085,,BD+17  575,22072,93494,,,,,168.80,-30.19,K1IVFe-1,03,34,08.3,+,17,49,58
1086,7    Tau,BD+23  473,22091,75999,,,,,163.95,-25.14,A3V+A3V,03,34,26.6,+,24,27,52
1087,37Psi Per,BD+47  857,22192,38980,,I,,,149.17,-06.09,B5Ve,03,36,29.4,+,48,11,34
1088,19Tau5Eri,BD-22  628,22203,168634,1099,,,,213.52,-52.78,B8V+B8V,03,33,47.3,-,21,37,58
1089,,BD+05  511,22211,111273,,,,,178.70,-38.17,G0,03,34,49.2,+,06,25,04
1090,,CD-50 1071,22231,233152,128,,,,261.29,-51.65,K2III,03,32,34.8,-,50,22,43
1091,,BD-10  704,22243,149047,,,,,196.69,-47.90,A2V,03,34,37.4,-,09,52,07
1092,,CP-66  195,22252,248825,,,,,282.23,-43.68,B8V,03,30,51.6,-,66,29,23
1093,,CD-31 1450,22262,194375,,,,W,229.23,-54.48,F5V,03,33,56.8,-,31,04,49
1094,,BD+56  826,22316,24133,,,,,144.23,1.13,B9p,03,38,19.7,+,56,55,58
1095,,CD-32 1358,22322,194379,,,,W,230.61,-54.40,K3III,03,34,33.5,-,31,52,29
1096,,CP-61  267,22382,248834,2256,,,,275.72,-46.68,K0III,03,32,51.6,-,61,01,01
1097,,BD+42  795,22402,38999,,,,,152.76,-10.44,B8Vn,03,38,00.2,+,42,34,59
1098,,BD-11  696,22409,149057,,,,,198.66,-48.26,gG7,03,35,57.7,-,11,11,37
1099,,BD+00  616,22468,111291,,,,,184.91,-41.57,G9V,03,36,47.3,+,00,35,16
1100,20    Eri,BD-17  699,22470,149063,1100,,,,207.47,-50.85,B9.5p,03,36,17.4,-,17,28,01
1101,10    Tau,BD-00  572,22484,111292,1101,I,,,185.12,-41.66,F9IV-V,03,36,52.4,+,00,24,06
1102,,BD+14  586,22522,93524,,,,D,171.46,-31.35,A5IV,03,37,47.8,+,15,25,51
1103,,BD+20  602,22615,76045,,,,,167.43,-27.13,"Am,A5-F0",03,39,00.1,+,20,54,57
1104,,CP-66  199,22634,248842,,,,,281.13,-43.84,A3V,03,34,24.7,-,65,45,52
1105,,BD+62  597,22649,12874,129,I,,,140.84,6.44,S3.5/2,03,42,09.3,+,63,13,00
1106,,CD-40 1008,22663,216405,130,,,,244.85,-53.51,K1III,03,37,05.7,-,40,16,29
1107,,BD+86   51,22701,623,3947,,,,125.76,24.91,F5IV,04,10,01.5,+,86,37,34
1108,,BD-07  647,22675,130628,,,,,194.29,-45.81,gG5,03,38,29.2,-,07,23,30
1109,,CP-78  101,22676,255998,,,,,293.79,-35.80,G8III,03,29,58.8,-,78,21,07
1110,,BD+16  484,22695,93536,2257,,,,170.90,-30.28,K0III,03,39,25.7,+,16,32,12
1111,21    Eri,BD-06  713,22713,130634,,,,,192.27,-44.75,K1V,03,39,01.1,-,05,37,34
1112,,BD+59  699,22764,24169,,I,,,142.87,3.90,K3IIb,03,42,42.7,+,59,58,10
1113,,BD+37  811,22780,56628,,,,,156.37,-14.04,B7Vne,03,41,07.9,+,37,34,48
1114,Tau For,CD-28 1225,22789,168701,1102,,,,224.16,-53.08,A0V,03,38,47.7,-,27,56,35
1115,12    Tau,BD+02  581,22796,111334,2258,,,,183.01,-39.42,gG6,03,39,51.1,+,03,03,25
1116,,BD-03  591,22798,130639,,,,,189.82,-43.37,G5,03,39,38.3,-,03,23,35
1117,,BD-10  717,22799,149082,,,,,198.28,-47.14,G5,03,39,25.4,-,10,26,14
1118,11    Tau,BD+24  529,22805,76073,1103,,,D,164.54,-23.55,A2IV,03,40,46.3,+,25,19,46
1119,,BD-01  519,22819,130645,,,,,187.38,-41.97,K1III-IV,03,39,59.5,-,01,07,14
1120,,BD-15  634,22905,149094,2259,,,,204.83,-49.12,G5,03,40,11.4,-,15,13,36
1121,22    Eri,BD-05  715,22920,130652,2260,,,,192.10,-44.18,B9IIIpSi4200,03,40,38.3,-,05,12,38
1122,39Del Per,BD+47  876,22928,39053,131,,,W,150.28,-05.77,B5IIIe,03,42,55.5,+,47,47,15
1123,40    Per,BD+33  698,22951,56646,,,,,158.92,-16.70,B0.5V,03,42,22.5,+,33,57,54
1124,,BD+66  284,23005,12890,2267,,,,138.68,9.84,F0IV,03,46,00.9,+,67,12,06
1125,,BD-12  689,23010,149107,,,,W,200.36,-47.40,F5II,03,41,13.8,-,11,48,11
1126,13    Tau,BD+19  578,23016,93557,2263,,,,169.00,-27.51,B9Vne,03,42,18.9,+,19,42,01
1127,,BD+48  984,23049,39063,,I,,,149.99,-05.06,K4III,03,44,06.4,+,48,31,25
1128,,BD-20  687,23055,149114,,,,,211.27,-50.46,A3V,03,41,22.4,-,19,35,05
1129,,BD+62  604,23089,12891,,I,,S,141.10,6.81,G0III+A3V,03,46,02.3,+,63,20,42
1130,,BD+45  804,23139,39071,2266,,,,151.56,-06.92,A7IV,03,44,40.9,+,46,05,59
1131,38Omi Per,BD+31  642,23180,56673,,,,,160.36,-17.74,B1III,03,44,19.1,+,32,17,18
1132,14    Tau,BD+19  582,23183,93568,,,,,169.31,-27.30,G8III,03,43,47.2,+,19,39,54
